subject	f0	VOT	Response_100	pred
13739847	7	5	100	96.0592881418959
13739847	7	5	100	96.0592881418959
13739847	7	5	100	96.0592881418959
13739847	8	5	100	97.3578718221108
13739847	8	5	100	97.3578718221108
13739847	8	5	100	97.3578718221108
13739847	9	5	94	98.0417155974277
13739847	9	5	94	98.0417155974277
13739847	9	5	94	98.0417155974277
13739847	1	6	100	84.6040867722096
13739847	1	6	100	84.6040867722096
13739847	2	6	100	90.8708098436313
13739847	2	6	100	90.8708098436313
13739847	2	6	100	90.8708098436313
13739847	3	6	91.6666666666667	94.5245746603229
13739847	3	6	91.6666666666667	94.5245746603229
13739847	3	6	91.6666666666667	94.5245746603229
13739847	4	6	100	96.5368974535805
13739847	4	6	100	96.5368974535805
13739847	4	6	100	96.5368974535805
13739847	5	6	96.6666666666667	97.6105243036691
13739847	5	6	96.6666666666667	97.6105243036691
13739847	5	6	96.6666666666667	97.6105243036691
13739847	6	6	100	98.1736316201965
13739847	6	6	100	98.1736316201965
13739847	6	6	100	98.1736316201965
13739847	7	6	93.6666666666667	98.4663315077075
13739847	7	6	93.6666666666667	98.4663315077075
13739847	7	6	93.6666666666667	98.4663315077075
13739847	8	6	94.3333333333333	98.6177639830187
13739847	8	6	94.3333333333333	98.6177639830187
13739847	8	6	94.3333333333333	98.6177639830187
13739847	9	6	88.6666666666667	98.6959198350823
13739847	9	6	88.6666666666667	98.6959198350823
13739847	9	6	88.6666666666667	98.6959198350823
13739847	1	7	96	96.9324286369386
13739847	1	7	96	96.9324286369386
13739847	1	7	96	96.9324286369386
13739847	2	7	100	97.8187516159672
13739847	2	7	100	97.8187516159672
13739847	2	7	100	97.8187516159672
13739847	3	7	94.6666666666667	98.2820775105015
13739847	3	7	94.6666666666667	98.2820775105015
13739847	3	7	94.6666666666667	98.2820775105015
13739847	4	7	100	98.5224940650136
13739847	4	7	100	98.5224940650136
13739847	4	7	100	98.5224940650136
13739847	5	7	100	98.6467651336011
13739847	5	7	100	98.6467651336011
13739847	5	7	100	98.6467651336011
13739847	6	7	100	98.7108728887614
13739847	6	7	100	98.7108728887614
13739847	6	7	100	98.7108728887614
13739847	7	7	100	98.743910192626
13739847	7	7	100	98.743910192626
13739847	7	7	100	98.743910192626
13739847	8	7	93.6666666666667	98.7609266231502
13739847	8	7	93.6666666666667	98.7609266231502
13739847	8	7	93.6666666666667	98.7609266231502
13739847	9	7	100	98.7696888353851
13739847	9	7	100	98.7696888353851
13739847	9	7	100	98.7696888353851
13739859	1	1	11.6666666666667	14.9609985774362
13739859	1	1	11.6666666666667	14.9609985774362
13739859	1	1	11.6666666666667	14.9609985774362
13739859	2	1	15.6666666666667	14.973316854033
13739859	2	1	15.6666666666667	14.973316854033
13739859	2	1	15.6666666666667	14.973316854033
13739859	3	1	17	14.9991770072274
13739859	3	1	17	14.9991770072274
13739859	3	1	17	14.9991770072274
13739859	4	1	14.3333333333333	15.0534305556018
13739859	4	1	14.3333333333333	15.0534305556018
13739859	4	1	14.3333333333333	15.0534305556018
13739859	5	1	16.6666666666667	15.1670962509357
13739859	5	1	16.6666666666667	15.1670962509357
13739859	5	1	16.6666666666667	15.1670962509357
13739859	6	1	27.6666666666667	15.4045523812677
13739859	6	1	27.6666666666667	15.4045523812677
13739859	6	1	27.6666666666667	15.4045523812677
13739859	7	1	12.3333333333333	15.897653213563
13739859	7	1	12.3333333333333	15.897653213563
13739859	7	1	12.3333333333333	15.897653213563
13739859	8	1	49.3333333333333	16.9090064578414
13739859	8	1	49.3333333333333	16.9090064578414
13739859	8	1	49.3333333333333	16.9090064578414
13739859	9	1	24.6666666666667	18.9315410617501
13739859	9	1	24.6666666666667	18.9315410617501
13739859	9	1	24.6666666666667	18.9315410617501
13739859	1	2	7.33333333333333	15.0510630622421
13739859	1	2	7.33333333333333	15.0510630622421
13739859	1	2	7.33333333333333	15.0510630622421
13739859	2	2	13	15.1621405596265
13739859	2	2	13	15.1621405596265
13739859	2	2	13	15.1621405596265
13739859	3	2	12.3333333333333	15.3942187949895
13739859	3	2	12.3333333333333	15.3942187949895
13739859	3	2	12.3333333333333	15.3942187949895
13739859	4	2	12	15.8762774297457
13739859	4	2	12	15.8762774297457
13739859	4	2	12	15.8762774297457
13739859	5	2	11	16.8655135633648
13739859	5	2	11	16.8655135633648
13739859	5	2	11	16.8655135633648
13739859	6	2	17.3333333333333	18.8459598872705
13739859	6	2	17.3333333333333	18.8459598872705
13739859	6	2	17.3333333333333	18.8459598872705
13739859	7	2	13	22.6215999011955
13739859	7	2	13	22.6215999011955
13739859	7	2	13	22.6215999011955
13739859	8	2	14.6666666666667	29.1919918426752
13739859	8	2	14.6666666666667	29.1919918426752
13739859	8	2	14.6666666666667	29.1919918426752
13739859	9	2	33.6666666666667	38.9958991741684
13739859	9	2	33.6666666666667	38.9958991741684
13739859	9	2	33.6666666666667	38.9958991741684
13739859	1	3	11.3333333333333	15.855376807601
13739859	1	3	11.3333333333333	15.855376807601
13739859	1	3	11.3333333333333	15.855376807601
13739859	2	3	18.3333333333333	16.8229571226099
13739859	2	3	18.3333333333333	16.8229571226099
13739859	2	3	18.3333333333333	16.8229571226099
13739859	3	3	17.6666666666667	18.7621016973404
13739859	3	3	17.6666666666667	18.7621016973404
13739859	3	3	17.6666666666667	18.7621016973404
13739859	4	3	24.6666666666667	22.4666066486287
13739859	4	3	24.6666666666667	22.4666066486287
13739859	4	3	24.6666666666667	22.4666066486287
13739859	5	3	37	28.9371014343304
13739859	5	3	37	28.9371014343304
13739859	5	3	37	28.9371014343304
13739859	6	3	57	38.6487808358264
13739859	6	3	57	38.6487808358264
13739859	6	3	57	38.6487808358264
13739859	7	3	40.3333333333333	50.3498196755636
13739859	7	3	40.3333333333333	50.3498196755636
13739859	7	3	40.3333333333333	50.3498196755636
13739859	8	3	70	61.2271961925426
13739859	8	3	70	61.2271961925426
13739859	8	3	70	61.2271961925426
13739859	9	3	59	69.156479802874
13739859	9	3	59	69.156479802874
13739859	9	3	59	69.156479802874
13739859	1	4	12.3333333333333	22.3143367849405
13739859	1	4	12.3333333333333	22.3143367849405
13739859	1	4	12.3333333333333	22.3143367849405
13739859	2	4	18.6666666666667	28.6855185764523
13739859	2	4	18.6666666666667	28.6855185764523
13739859	2	4	18.6666666666667	28.6855185764523
13739859	3	4	36.6666666666667	38.3037591115739
13739859	3	4	36.6666666666667	38.3037591115739
13739859	3	4	36.6666666666667	38.3037591115739
13739859	4	4	73	49.9817881294148
13739859	4	4	73	49.9817881294148
13739859	4	4	73	49.9817881294148
13739859	5	4	48.3333333333333	60.9265990181089
13739859	5	4	48.3333333333333	60.9265990181089
13739859	5	4	48.3333333333333	60.9265990181089
13739859	6	4	78.3333333333333	68.9595720202684
13739859	6	4	78.3333333333333	68.9595720202684
13739859	6	4	78.3333333333333	68.9595720202684
13739859	7	4	82.3333333333333	73.8594405854239
13739859	7	4	82.3333333333333	73.8594405854239
13739859	7	4	82.3333333333333	73.8594405854239
13739859	8	4	74.6666666666667	76.5185288507612
13739859	8	4	74.6666666666667	76.5185288507612
13739859	8	4	74.6666666666667	76.5185288507612
13739859	9	4	81.6666666666667	77.8706049285854
13739859	9	4	81.6666666666667	77.8706049285854
13739859	9	4	81.6666666666667	77.8706049285854
13739859	1	5	41	49.6129779313617
13739859	1	5	41	49.6129779313617
13739859	1	5	41	49.6129779313617
13739859	2	5	75.3333333333333	60.6229791249233
13739859	2	5	75.3333333333333	60.6229791249233
13739859	2	5	75.3333333333333	60.6229791249233
13739859	3	5	61.6666666666667	68.7595287803313
13739859	3	5	61.6666666666667	68.7595287803313
13739859	3	5	61.6666666666667	68.7595287803313
13739859	4	5	57	73.745943051812
13739859	4	5	57	73.745943051812
13739859	4	5	57	73.745943051812
13739859	5	5	83.6666666666667	76.4594522971735
13739859	5	5	83.6666666666667	76.4594522971735
13739859	5	5	83.6666666666667	76.4594522971735
13739859	6	5	59.6666666666667	77.8412177545126
13739859	6	5	59.6666666666667	77.8412177545126
13739859	6	5	59.6666666666667	77.8412177545126
13739859	7	5	77.3333333333333	78.5210666599012
13739859	7	5	77.3333333333333	78.5210666599012
13739859	7	5	77.3333333333333	78.5210666599012
13739859	8	5	87	78.8499054718953
13739859	8	5	87	78.8499054718953
13739859	8	5	87	78.8499054718953
13739859	9	5	76.6666666666667	79.007650268914
13739859	9	5	76.6666666666667	79.007650268914
13739859	9	5	76.6666666666667	79.007650268914
13739859	1	6	69	73.630239574305
13739859	1	6	69	73.630239574305
13739859	1	6	69	73.630239574305
13739859	2	6	79.6666666666667	76.3991095644051
13739859	2	6	79.6666666666667	76.3991095644051
13739859	2	6	79.6666666666667	76.3991095644051
13739859	3	6	62	77.8111708037304
13739859	3	6	62	77.8111708037304
13739859	3	6	62	77.8111708037304
13739859	4	6	86	78.5064480020896
13739859	4	6	86	78.5064480020896
13739859	4	6	86	78.5064480020896
13739859	5	6	80.6666666666667	78.8428731056393
13739859	5	6	80.6666666666667	78.8428731056393
13739859	5	6	80.6666666666667	78.8428731056393
13739859	6	6	81.6666666666667	79.0042857070688
13739859	6	6	81.6666666666667	79.0042857070688
13739859	6	6	81.6666666666667	79.0042857070688
13739859	7	6	76	79.0814144602154
13739859	7	6	76	79.0814144602154
13739859	7	6	76	79.0814144602154
13739859	8	6	86.3333333333333	79.1181975692066
13739859	8	6	86.3333333333333	79.1181975692066
13739859	8	6	86.3333333333333	79.1181975692066
13739859	9	6	88.3333333333333	79.1357233159524
13739859	9	6	88.3333333333333	79.1357233159524
13739859	9	6	88.3333333333333	79.1357233159524
13739859	1	7	75.6666666666667	78.4914939659222
13739859	1	7	75.6666666666667	78.4914939659222
13739859	1	7	75.6666666666667	78.4914939659222
13739859	2	7	77.6666666666667	78.8356776587093
13739859	2	7	77.6666666666667	78.8356776587093
13739859	2	7	77.6666666666667	78.8356776587093
13739859	3	7	76.3333333333333	79.0008427202309
13739859	3	7	76.3333333333333	79.0008427202309
13739859	3	7	76.3333333333333	79.0008427202309
13739859	4	7	79	79.0797714006551
13739859	4	7	79	79.0797714006551
13739859	4	7	79	79.0797714006551
13739859	5	7	81.6666666666667	79.1174144684323
13739859	5	7	81.6666666666667	79.1174144684323
13739859	5	7	81.6666666666667	79.1174144684323
13739859	6	7	79	79.1353503079879
13739859	6	7	79	79.1353503079879
13739859	6	7	79	79.1353503079879
13739859	7	7	78	79.1438923431877
13739859	7	7	78	79.1438923431877
13739859	7	7	78	79.1438923431877
13739859	8	7	85.3333333333333	79.1479596519649
13739859	8	7	85.3333333333333	79.1479596519649
13739859	8	7	85.3333333333333	79.1479596519649
13739859	9	7	78.6666666666667	79.1498961106575
13739859	9	7	78.6666666666667	79.1498961106575
13739859	9	7	78.6666666666667	79.1498961106575
13739892	1	1	16	22.351550446503
13739892	1	1	16	22.351550446503
13739892	1	1	16	22.351550446503
13739892	2	1	36	22.4134772481016
13739892	2	1	36	22.4134772481016
13739892	2	1	36	22.4134772481016
13739892	3	1	22	22.4815211269705
13739892	3	1	22	22.4815211269705
13739892	3	1	22	22.4815211269705
13739892	4	1	9	22.5562705884751
13739892	4	1	9	22.5562705884751
13739892	5	1	39	22.6383674698586
13739892	5	1	39	22.6383674698586
13739892	5	1	39	22.6383674698586
13739892	6	1	11.5	22.7285110844577
13739892	6	1	11.5	22.7285110844577
13739892	7	1	18	22.8274625398848
13739892	7	1	18	22.8274625398848
13739892	7	1	18	22.8274625398848
13739892	8	1	83	22.9360492020724
13739892	8	1	83	22.9360492020724
13739892	9	1	8.33333333333333	23.0551692665024
13739892	9	1	8.33333333333333	23.0551692665024
13739892	9	1	8.33333333333333	23.0551692665024
13739892	1	2	13.6666666666667	24.1040229559148
13739892	1	2	13.6666666666667	24.1040229559148
13739892	1	2	13.6666666666667	24.1040229559148
13739892	2	2	43	24.3338003257767
13739892	2	2	43	24.3338003257767
13739892	2	2	43	24.3338003257767
13739892	3	2	11.6666666666667	24.5847798725693
13739892	3	2	11.6666666666667	24.5847798725693
13739892	3	2	11.6666666666667	24.5847798725693
13739892	4	2	29.6666666666667	24.8587053000863
13739892	4	2	29.6666666666667	24.8587053000863
13739892	4	2	29.6666666666667	24.8587053000863
13739892	5	2	11	25.1574213126761
13739892	5	2	11	25.1574213126761
13739892	6	2	15.6666666666667	25.4828707463547
13739892	6	2	15.6666666666667	25.4828707463547
13739892	6	2	15.6666666666667	25.4828707463547
13739892	7	2	18.5	25.837089472238
13739892	7	2	18.5	25.837089472238
13739892	8	2	10.6666666666667	26.2221986617029
13739892	8	2	10.6666666666667	26.2221986617029
13739892	8	2	10.6666666666667	26.2221986617029
13739892	9	2	5.66666666666667	26.6403939757961
13739892	9	2	5.66666666666667	26.6403939757961
13739892	9	2	5.66666666666667	26.6403939757961
13739892	1	3	38.3333333333333	30.1401528598199
13739892	1	3	38.3333333333333	30.1401528598199
13739892	1	3	38.3333333333333	30.1401528598199
13739892	2	3	11.3333333333333	30.865672906565
13739892	2	3	11.3333333333333	30.865672906565
13739892	2	3	11.3333333333333	30.865672906565
13739892	3	3	59	31.6422986950301
13739892	3	3	59	31.6422986950301
13739892	3	3	59	31.6422986950301
13739892	4	3	37.3333333333333	32.4716376314344
13739892	4	3	37.3333333333333	32.4716376314344
13739892	4	3	37.3333333333333	32.4716376314344
13739892	5	3	34	33.3550012648138
13739892	5	3	34	33.3550012648138
13739892	5	3	34	33.3550012648138
13739892	6	3	56.6666666666667	34.293344655449
13739892	6	3	56.6666666666667	34.293344655449
13739892	6	3	56.6666666666667	34.293344655449
13739892	7	3	39	35.2872047370738
13739892	7	3	39	35.2872047370738
13739892	7	3	39	35.2872047370738
13739892	8	3	21.5	36.3366396212608
13739892	8	3	21.5	36.3366396212608
13739892	9	3	51	37.4411711487712
13739892	9	3	51	37.4411711487712
13739892	1	4	45.3333333333333	45.4614897278855
13739892	1	4	45.3333333333333	45.4614897278855
13739892	1	4	45.3333333333333	45.4614897278855
13739892	2	4	59.3333333333333	46.8925449873159
13739892	2	4	59.3333333333333	46.8925449873159
13739892	2	4	59.3333333333333	46.8925449873159
13739892	3	4	54.5	48.3504372095453
13739892	3	4	54.5	48.3504372095453
13739892	4	4	21.3333333333333	49.8290013334167
13739892	4	4	21.3333333333333	49.8290013334167
13739892	4	4	21.3333333333333	49.8290013334167
13739892	5	4	59	51.3217029136214
13739892	5	4	59	51.3217029136214
13739892	5	4	59	51.3217029136214
13739892	6	4	17.5	52.8217503650184
13739892	6	4	17.5	52.8217503650184
13739892	7	4	18	54.3222170427264
13739892	7	4	18	54.3222170427264
