Participant Private ID	Display	Response	rand	Response Type	trial	ProlificID	prob_p
13739892	Neutral 14	87	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	87
13739892	Neutral 14	91	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	91
13739892	Neutral 15	89	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	89
13739892	Neutral 15	8	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	8
13739892	Neutral 16	12	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	12
13739892	Neutral 16	52	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	52
13739892	Neutral 17	22	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	22
13739892	Neutral 17	21	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	21
13739892	Neutral 18	75	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	75
13739892	Neutral 18	19	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	19
13739892	Neutral 19	52	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	52
13739892	Neutral 19	82	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	82
13739892	Neutral 20	93	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	93
13739892	Neutral 20	79	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	79
13739892	Neutral 21	50	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	50
13739892	Neutral 21	81	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	81
13739892	Neutral 22	13	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	13
13739892	Neutral 22	82	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	82
13739892	Neutral 23	16	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	16
13739892	Neutral 23	79	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	79
13739892	Neutral 24	89	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	89
13739892	Neutral 24	78	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	78
13739892	Neutral 25	62	beer_pier	tooEarly	highf0	655b6a0d11066d07716ab0b5	62
13739892	Neutral 25	89	beer_pier	tooEarly	lowf0	655b6a0d11066d07716ab0b5	89
